utente/$/$/hotel,b

puali2016/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Poo1972/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Fatima/$/$/Hampton Inn Virginia Beach Oceanfront North,0.01

Fatima/$/$/Quality Inn Long Beach Airport,0.33

Momdemac/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Cammy/$/$/Hampton Inn Virginia Beach Oceanfront North,0.52

Renae/$/$/Hampton Inn Virginia Beach Oceanfront North,0.48

Margaret J/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57

Meredith Mulwanda/$/$/Hampton Inn Virginia Beach Oceanfront North,0.35

deborah g/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Lisa R/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Lisa R/$/$/Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,0.04

Kathleen M/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57

RP2459/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Diangelo B/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Jeremy S/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Pamela B/$/$/Hampton Inn Virginia Beach Oceanfront North,0.03

Pamela B/$/$/Americas Best Value Inn,0.19

Tanya S/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Salene C/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Her09/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Nice/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57

Kimberly C/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Jane D/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57

va_owl/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

NCbeachbum44/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Sharron M/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Chris0026/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Lester P/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

3xmom/$/$/Hampton Inn Virginia Beach Oceanfront North,0.48

Ray T/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Sonata/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57

Spreak/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Theresa D/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

DCDutch66/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Betty P/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

C-Sea-Traveller/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Vacation620/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Charlotte S/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Trina-renee/$/$/Hampton Inn Virginia Beach Oceanfront North,0.4

tarheel919/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

navajo0549/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Nichole/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Blinggirl/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Michele912/$/$/Hampton Inn Virginia Beach Oceanfront North,0.02

Great/$/$/Hampton Inn Virginia Beach Oceanfront North,0.31

Sibylle Z/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Corrina/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Ladona R/$/$/Hampton Inn Virginia Beach Oceanfront North,0.0

Kellin  J/$/$/Sleep Inn At Harbour View,0.12

Rondale/$/$/Sleep Inn At Harbour View,0.12

Monderiko baxter/$/$/Sleep Inn At Harbour View,0.12

Dorota/$/$/Sleep Inn At Harbour View,0.0

patty/$/$/Sleep Inn At Harbour View,0.0

Tawana/$/$/Sleep Inn At Harbour View,0.12

Eleanor/$/$/Sleep Inn At Harbour View,0.0

Aggie/$/$/Sleep Inn At Harbour View,0.0

rose/$/$/Sleep Inn At Harbour View,0.12

alh2012/$/$/Sleep Inn At Harbour View,0.0

Chocbarbe/$/$/Sleep Inn At Harbour View,0.0

Donna P/$/$/Sleep Inn At Harbour View,0.0

Donna P/$/$/The Booker-lewis,0.0

Jon14-6/$/$/Sleep Inn At Harbour View,0.0

Candy/$/$/Sleep Inn At Harbour View,0.12

JandT107/$/$/Sleep Inn At Harbour View,0.43

scottmpd28/$/$/Sleep Inn At Harbour View,0.0

Jack K/$/$/Sleep Inn At Harbour View,0.0

browndl63/$/$/Sleep Inn At Harbour View,0.12

MARTY0626/$/$/Sleep Inn At Harbour View,0.0

TNVolsFan1969/$/$/Sleep Inn At Harbour View,0.0

Bob009/$/$/Sleep Inn At Harbour View,0.0

Mike D./$/$/Sleep Inn At Harbour View,0.0

hopkinch/$/$/Sleep Inn At Harbour View,0.0

Kyle L/$/$/Sleep Inn At Harbour View,0.43

Knar-NP/$/$/Sleep Inn At Harbour View,0.0

alyce m/$/$/Sleep Inn At Harbour View,0.43

Ro/$/$/Hotel Lavonia,0.2

Dick Burrell/$/$/Hotel Lavonia,0.0

Rod Giddens/$/$/Hotel Lavonia,0.0

Red lancer/$/$/Hotel Lavonia,0.0

Carla Jackson/$/$/Hotel Lavonia,0.0

Stella & Tom/$/$/Hotel Lavonia,0.37

Didier/$/$/Hotel Lavonia,0.0

Didier/$/$/Best Western Saint-etienne Aeroport,0.0

leickhoff1/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Leighann/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

Jfvilla/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Business Traveler/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Lorin/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

Stephanie Brockway/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

NROMANO/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

Selvasiva/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Jacqueline Marcano/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.48

Ariel Morrison/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

kimj550/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Daniel S/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Daniel S/$/$/The Abbey Resort,0.07

Courtyard Rockaway-Mt. Arlington/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Terry Stratoudakis/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

cjf1272/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

39jamestraveler/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.11

Napsterthecat/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

Elizabeth Brady/$/$/Courtyard By Marriott Rockaway Mount Arlington,0.0

Elsa/$/$/Fiesta Inn and Suites,0.16

Blessing/$/$/Fiesta Inn and Suites,0.0

OneNightStayer/$/$/Fiesta Inn and Suites,0.0

Hotel Nightmare/$/$/Fiesta Inn and Suites,0.0

Hermila Rivas/$/$/Fiesta Inn and Suites,0.16

Ariana lions/$/$/Fiesta Inn and Suites,0.0

Guadalupe Reyes/$/$/Fiesta Inn and Suites,0.0

Saralyn/$/$/Fiesta Inn and Suites,0.0

Disappntd guest/$/$/Fiesta Inn and Suites,0.16

B.B./$/$/Fiesta Inn and Suites,0.16

appalled/$/$/Fiesta Inn and Suites,0.16

Luis Santana/$/$/Fiesta Inn and Suites,0.0

Fidel/$/$/Fiesta Inn and Suites,0.07

Fidel/$/$/Holiday Inn Express Hotel and Suites Hesperia,0.0

Richard Ware/$/$/Fiesta Inn and Suites,0.16

Omega/$/$/Fiesta Inn and Suites,0.0

MOTHEROFTHREE/$/$/Fiesta Inn and Suites,0.0

Guadalupe/$/$/Fiesta Inn and Suites,0.16

Jazmine/$/$/Fiesta Inn and Suites,0.0

Norma Perez/$/$/Fiesta Inn and Suites,0.0

Karina Alvarez/$/$/Fiesta Inn and Suites,0.16

Disappointed Traveler/$/$/Fiesta Inn and Suites,0.0

RoseMarie/$/$/Fiesta Inn and Suites,0.16

Gilberto/$/$/Fiesta Inn and Suites,0.0

Luis Fernando/$/$/Fiesta Inn and Suites,0.16

Cecilia/$/$/Fiesta Inn and Suites,0.0

Cristal/$/$/Fiesta Inn and Suites,0.0

CLARISSA/$/$/Fiesta Inn and Suites,0.0

unsatisfied/$/$/Fiesta Inn and Suites,0.0

Nonya/$/$/Fiesta Inn and Suites,0.0

STEFANI V/$/$/Fiesta Inn and Suites,0.0

Amee/$/$/Fiesta Inn and Suites,0.0

Eric G./$/$/Fiesta Inn and Suites,0.0

Hayde/$/$/Fiesta Inn and Suites,0.0

ved bell/$/$/Fiesta Inn and Suites,0.0

Santosh/$/$/Fiesta Inn and Suites,0.16

raquel/$/$/Fiesta Inn and Suites,0.16

Selenia trujillo/$/$/Fiesta Inn and Suites,0.16

Jose Torres/$/$/Fiesta Inn and Suites,0.0

VGA/$/$/Fiesta Inn and Suites,0.16

shantel/$/$/Fiesta Inn and Suites,0.0

DORIS/$/$/Fiesta Inn and Suites,0.0

KJ/$/$/Fiesta Inn and Suites,0.0

Bocho/$/$/Fiesta Inn and Suites,0.0

Shawna/$/$/Fiesta Inn and Suites,0.16

Shawna/$/$/Baymont Inn and Suites Boone,0.0

Khrystyne/$/$/Fiesta Inn and Suites,0.0

notahappycamper/$/$/Fiesta Inn and Suites,0.0

Fern/$/$/Fiesta Inn and Suites,0.0

cynthia espinoza/$/$/Fiesta Inn and Suites,0.16

ernesto medina/$/$/Fiesta Inn and Suites,0.0

philip/$/$/Fiesta Inn and Suites,0.0

philip/$/$/Drury Inn and Suites Columbus Convention Center,0.0

suresh/$/$/Fiesta Inn and Suites,0.0

Not Thrilled/$/$/Fiesta Inn and Suites,0.0

Irene Garza/$/$/Fiesta Inn and Suites,0.0

jennifer bustin/$/$/Fiesta Inn and Suites,0.07

BAJ/$/$/Fiesta Inn and Suites,0.07

Domingo C/$/$/Fiesta Inn and Suites,0.0

gmerchan/$/$/Fiesta Inn and Suites,0.16

Yadira Lizbeth/$/$/Fiesta Inn and Suites,0.16

Lupe/$/$/Fiesta Inn and Suites,0.0

Jm/$/$/Fiesta Inn and Suites,0.16

Shell/$/$/Fiesta Inn and Suites,0.08

Shell/$/$/Americas Best Value Inn,0.0

Dissatisfied guest/$/$/Fiesta Inn and Suites,0.0

vgy/$/$/Fiesta Inn and Suites,0.0

Joel Hinojosa/$/$/Fiesta Inn and Suites,0.0

mitch/$/$/Fiesta Inn and Suites,0.07

mitch/$/$/Quality Inn and Suites Irvine Spectrum,0.0

Pediatra de Atoyork/$/$/Fiesta Inn and Suites,0.16

Phuong/$/$/Fiesta Inn and Suites,0.0

Matamoros kid/$/$/Fiesta Inn and Suites,0.0

LeeLee/$/$/Fiesta Inn and Suites,0.16

belinda/$/$/Fiesta Inn and Suites,0.0

Haydeé/$/$/Fiesta Inn and Suites,0.16

dolores/$/$/Fiesta Inn and Suites,0.0

WebGoals/$/$/Hilton Garden Inn Oconomowoc,0.0

Rich L/$/$/Hilton Garden Inn Oconomowoc,0.0

amyk63/$/$/Hilton Garden Inn Oconomowoc,0.08

I1417KVdeniseb/$/$/Hilton Garden Inn Oconomowoc,0.08

Gary S/$/$/Hilton Garden Inn Oconomowoc,0.0

Gary S/$/$/Hotel Valencia Santana Row,0.0

Darryl L/$/$/Hilton Garden Inn Oconomowoc,0.08

 /$/$/Hilton Garden Inn Oconomowoc,0.08

Drew M/$/$/Hilton Garden Inn Oconomowoc,0.08

Jennie P/$/$/Hilton Garden Inn Oconomowoc,0.0

Stephen H/$/$/Hilton Garden Inn Oconomowoc,0.0

Stephen H/$/$/Homewood Suites By Hilton Albuquerque - Journal Center,0.0

Family V/$/$/Hilton Garden Inn Oconomowoc,0.0

Geoff W/$/$/Hilton Garden Inn Oconomowoc,0.0

milly1232016/$/$/Hilton Garden Inn Oconomowoc,0.08

AnitaLaGrangePark/$/$/Hilton Garden Inn Oconomowoc,0.0

Walter J J/$/$/Hilton Garden Inn Oconomowoc,0.08

htank923/$/$/Hilton Garden Inn Oconomowoc,0.0

Mstireman03/$/$/Hilton Garden Inn Oconomowoc,0.0

richardjD2348UD/$/$/Hilton Garden Inn Oconomowoc,0.0

James T J/$/$/Hilton Garden Inn Oconomowoc,0.08

Cpjules/$/$/Hilton Garden Inn Oconomowoc,0.08

William C/$/$/Hilton Garden Inn Oconomowoc,0.08

tike853/$/$/Hilton Garden Inn Oconomowoc,0.08

zimbak66/$/$/Hilton Garden Inn Oconomowoc,0.08

Beberle2002/$/$/Hilton Garden Inn Oconomowoc,0.0

Christy W/$/$/Hilton Garden Inn Oconomowoc,0.0

Nancy A/$/$/Hilton Garden Inn Oconomowoc,0.08

262DAZ78/$/$/Hilton Garden Inn Oconomowoc,0.0

jarjo/$/$/Hilton Garden Inn Oconomowoc,0.0

Stephanie N/$/$/Hilton Garden Inn Oconomowoc,0.0

Troy N/$/$/Hilton Garden Inn Oconomowoc,0.0

Bridgette Tonia S/$/$/Hilton Garden Inn Oconomowoc,0.0

bultmanmary/$/$/Hilton Garden Inn Oconomowoc,0.08

Martyn G/$/$/Hilton Garden Inn Oconomowoc,0.0

jayhawkgrant/$/$/Hilton Garden Inn Oconomowoc,0.08

Paulette8907654532/$/$/Hilton Garden Inn Oconomowoc,0.08

Richard H/$/$/Hilton Garden Inn Oconomowoc,0.08

Tim D/$/$/Hilton Garden Inn Oconomowoc,0.0

846craiga/$/$/Hilton Garden Inn Oconomowoc,0.08

Koyangi/$/$/Hilton Garden Inn Oconomowoc,0.0

Sheila L/$/$/Hilton Garden Inn Oconomowoc,0.0

gr8gas/$/$/Hilton Garden Inn Oconomowoc,0.08

Steff G/$/$/Hilton Garden Inn Oconomowoc,0.0

allysaroedl/$/$/Hilton Garden Inn Oconomowoc,0.08

Gene B/$/$/Hilton Garden Inn Oconomowoc,0.08

Douglas C/$/$/Hilton Garden Inn Oconomowoc,0.08

dodacrazy/$/$/Econo Lodge,0.0

NZSailfish/$/$/Candlewood Suites Indianapolis Northwest,0.0

N R/$/$/Candlewood Suites Indianapolis Northwest,0.0

Bettsyrn/$/$/Candlewood Suites Indianapolis Northwest,0.0

Jim R/$/$/Candlewood Suites Indianapolis Northwest,0.0

Jim R/$/$/Beach Cove 411 Tower A Sierra's 1 Bedroom Condo By Prista Management,0.04

CSusiO/$/$/Candlewood Suites Indianapolis Northwest,0.0

candlewick1/$/$/Candlewood Suites Indianapolis Northwest,0.0

cheryl5852/$/$/Candlewood Suites Indianapolis Northwest,0.0

absolutely42746/$/$/Candlewood Suites Indianapolis Northwest,0.0

CW_from_CA/$/$/Candlewood Suites Indianapolis Northwest,0.0

rlbrown2016/$/$/Candlewood Suites Indianapolis Northwest,0.0

Rae Ann P/$/$/Candlewood Suites Indianapolis Northwest,0.0

lolorankin/$/$/Candlewood Suites Indianapolis Northwest,0.0

broncoal06/$/$/Candlewood Suites Indianapolis Northwest,0.0

Mitzie Pruetz Boyer/$/$/Candlewood Suites Indianapolis Northwest,0.52

An0nym0us/$/$/Candlewood Suites Indianapolis Northwest,0.0

An0nym0us/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.02

Del O/$/$/Candlewood Suites Indianapolis Northwest,0.0

MarciMF/$/$/Candlewood Suites Indianapolis Northwest,0.0

Eric Andelin/$/$/Candlewood Suites Indianapolis Northwest,0.0

gil/$/$/Holiday Inn Fond Du Lac,0.0

lgal/$/$/Holiday Inn Fond Du Lac,0.16

Yvette/$/$/Holiday Inn Fond Du Lac,0.16

chimom/$/$/Holiday Inn Fond Du Lac,0.06

mary jo/$/$/Holiday Inn Fond Du Lac,0.43

Jonathon/$/$/Holiday Inn Fond Du Lac,0.16

Kiely/$/$/Holiday Inn Fond Du Lac,0.16

KOfromMN/$/$/Holiday Inn Fond Du Lac,0.43

Andimom75/$/$/Holiday Inn Fond Du Lac,0.0

Eugenia T/$/$/Arizona Inn of Prescott Valley,0.06

Orie/$/$/Arizona Inn of Prescott Valley,0.0

clarence/$/$/Arizona Inn of Prescott Valley,0.06

Kashway/$/$/Arizona Inn of Prescott Valley,0.0

Louisa/$/$/Arizona Inn of Prescott Valley,0.16

Hutch/$/$/Arizona Inn of Prescott Valley,0.06

Marychris/$/$/Arizona Inn of Prescott Valley,0.06

Launa/$/$/Arizona Inn of Prescott Valley,0.36

Edwin/$/$/Arizona Inn of Prescott Valley,0.16

kevin m/$/$/Arizona Inn of Prescott Valley,0.06

ERVIN/$/$/Microtel Inn and Suites By Wyndham Burlington,0.15

CharTheArtist/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

Neville/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

tg/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

Markita/$/$/Microtel Inn and Suites By Wyndham Burlington,0.15

dlg/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

Wil/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

KANDACE/$/$/Microtel Inn and Suites By Wyndham Burlington,0.15

Vivian/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

Vivian/$/$/Dockers Inn,0.0

Vivian/$/$/Americas Best Value Inn,0.0

Tionna/$/$/Microtel Inn and Suites By Wyndham Burlington,0.05

Durand/$/$/Microtel Inn and Suites By Wyndham Burlington,0.05

GARRETT/$/$/Microtel Inn and Suites By Wyndham Burlington,0.05

Z5387PMrichardh/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

42anthonyf/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

Dragon2015Phoenix/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

Kathy18_12/$/$/Microtel Inn and Suites By Wyndham Burlington,0.05

Dble_Inc_Two_Kids/$/$/Microtel Inn and Suites By Wyndham Burlington,0.05

JEAN N/$/$/Microtel Inn and Suites By Wyndham Burlington,0.39

T3244MQandrewt/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

BeerTravelling/$/$/Microtel Inn and Suites By Wyndham Burlington,0.0

JoJo C/$/$/The Inn At Bella Vista,0.0

Glenda P/$/$/The Inn At Bella Vista,0.0

Patricia M/$/$/The Inn At Bella Vista,0.0

Jessie/$/$/The Inn At Bella Vista,0.0

Kristan/$/$/The Inn At Bella Vista,0.0

josiegirl683/$/$/The Inn At Bella Vista,0.0

Constanze/$/$/The Inn At Bella Vista,0.0

Marguerite/$/$/The Inn At Bella Vista,0.0

JulesA59/$/$/The Inn At Bella Vista,0.0

6qw/$/$/The Inn At Bella Vista,0.0

SamNusbaum/$/$/The Inn At Bella Vista,0.0

thebeejer/$/$/The Inn At Bella Vista,0.0

Robyn T/$/$/The Inn At Bella Vista,0.0

Carina/$/$/Quality Inn Long Beach Airport,0.15

Carina/$/$/Quality Inn and Suites Big Rapids,0.07

Maby/$/$/Quality Inn Long Beach Airport,0.0

Larilyn/$/$/Quality Inn Long Beach Airport,0.0

Cametria/$/$/Quality Inn Long Beach Airport,0.0

Joann/$/$/Quality Inn Long Beach Airport,0.0

Joann/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.0

alicia/$/$/Quality Inn Long Beach Airport,0.0

La Sheaya/$/$/Quality Inn Long Beach Airport,0.0

Not Impressed/$/$/Quality Inn Long Beach Airport,0.0

Nancy L./$/$/Quality Inn Long Beach Airport,0.09

laurie82/$/$/Grandison Bed Breakfast,0.0

Marcia C/$/$/Twin Gables of Woodstock,0.0

Ben M/$/$/Twin Gables of Woodstock,0.0

Baas B/$/$/Twin Gables of Woodstock,0.0

katjanarangel/$/$/Twin Gables of Woodstock,0.0

JulesHeather/$/$/Twin Gables of Woodstock,0.0

Bless S/$/$/Twin Gables of Woodstock,0.0

CatherineL_A2/$/$/Twin Gables of Woodstock,0.0

Justmovin/$/$/Twin Gables of Woodstock,0.0

Kashohny/$/$/Twin Gables of Woodstock,0.0

Julius/$/$/Comfort Suites,0.11

sean/$/$/Comfort Suites,0.12

sean/$/$/Hotel Valencia Santana Row,0.09

sean/$/$/Comfort Inn and Suites,0.13

Verna/$/$/Comfort Suites,0.01

donny/$/$/Comfort Suites,0.11

Kurt A/$/$/Comfort Suites,0.01

lhovingh/$/$/Comfort Suites,0.11

twinks/$/$/Comfort Suites,0.11

OhioJJean/$/$/Comfort Suites,0.01

Yvette B/$/$/Comfort Suites,0.0

Neva/$/$/Comfort Suites,0.44

Celia/$/$/Comfort Suites,0.01

Celia/$/$/Anaheim Marriott Suites,0.0

MUSTAFA/$/$/Comfort Suites,0.11

Pippali2/$/$/Comfort Suites,0.01

Col_Tomb/$/$/Comfort Suites,0.01

Michael V/$/$/Comfort Suites,0.11

Kimberly O/$/$/Comfort Suites,0.11

772aly/$/$/Comfort Suites,0.01

132Bermuda2014/$/$/Comfort Suites,0.0

Harlan/$/$/Comfort Suites,0.01

Ashton/$/$/Comfort Suites,0.0

Ralph H/$/$/Comfort Suites,0.11

Sarah W/$/$/Comfort Suites,0.0

Sarah W/$/$/La Quinta Inn and Suites Meridian,0.4

Carolyn P/$/$/Comfort Suites,0.11

WendyMonnett/$/$/Comfort Suites,0.01

Rebby2k/$/$/Comfort Suites,0.01

krcowboy/$/$/Comfort Suites,0.44

LetMeGetMySuitcase/$/$/Comfort Suites,0.11

Jonh D/$/$/Comfort Suites,0.11

Beachlover8072/$/$/Comfort Suites,0.11

Angela N/$/$/Comfort Suites,0.01

Rick C/$/$/Comfort Suites,0.44

Rick C/$/$/Good Nite Inn Rohnert Park,0.13

58sandy53/$/$/Comfort Suites,0.11

ksrgj/$/$/Comfort Suites,0.11

talltree24/$/$/Comfort Suites,0.44

dwightd1/$/$/Comfort Suites,0.11

Ashley L/$/$/Comfort Suites,0.11

sailor0805/$/$/Comfort Suites,0.0

jmathew1/$/$/Comfort Suites,0.11

Darci S/$/$/Comfort Suites,0.01

Scott W/$/$/Comfort Suites,0.11

Brian Haines/$/$/Comfort Suites,0.01

Erwin Torrescano/$/$/Comfort Suites,0.01

Miranda Rowenhorst/$/$/Comfort Suites,0.11

ps/$/$/Baymont Inn and Suites Boone,0.0

Lulu/$/$/Baymont Inn and Suites Boone,0.0

Janelle/$/$/Baymont Inn and Suites Boone,0.06

Janelle/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.0

janiceh349/$/$/Baymont Inn and Suites Boone,0.1

Paul Wojnowski/$/$/Baymont Inn and Suites Boone,0.1

DROCK/$/$/Baymont Inn and Suites Boone,0.0

Dorothy B/$/$/Baymont Inn and Suites Boone,0.0

dawn/$/$/Baymont Inn and Suites Boone,0.0

Wallace R/$/$/Baymont Inn and Suites Boone,0.2

288lyndab/$/$/Baymont Inn and Suites Boone,0.1

Neo/$/$/Baymont Inn and Suites Boone,0.1

lenorao2016/$/$/Baymont Inn and Suites Boone,0.0

Randy1157/$/$/Baymont Inn and Suites Boone,0.0

Suesitta B/$/$/Baymont Inn and Suites Boone,0.0

Clayton B/$/$/Baymont Inn and Suites Boone,0.0

MARILYN/$/$/Baymont Inn and Suites Boone,0.2

robertmS2068MU/$/$/Baymont Inn and Suites Boone,0.0

236izaakb/$/$/Baymont Inn and Suites Boone,0.0

Crystal G/$/$/Baymont Inn and Suites Boone,0.0

kimpJ1501MT/$/$/Baymont Inn and Suites Boone,0.0

Donald K/$/$/Baymont Inn and Suites Boone,0.1

Shelli H/$/$/Baymont Inn and Suites Boone,0.0

Y9575JBtomm/$/$/Baymont Inn and Suites Boone,0.2

728heidig/$/$/Baymont Inn and Suites Boone,0.0

Paula B/$/$/Baymont Inn and Suites Boone,0.0

KennaKl/$/$/Baymont Inn and Suites Boone,0.1

dtwi11iams/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Lem0ngirl/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Shannon H/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Shannon H/$/$/La Quinta Inn Auburn Worcester,0.04

lj55c/$/$/Springhill Suites Marriott Colorado Springs South,0.0

KatieElizabeth13/$/$/Springhill Suites Marriott Colorado Springs South,0.0

380rac2015/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Karen W/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Adrian Villarreal/$/$/Springhill Suites Marriott Colorado Springs South,0.53

Cory McGray/$/$/Springhill Suites Marriott Colorado Springs South,0.53

Miguel Zelaya/$/$/Springhill Suites Marriott Colorado Springs South,0.53

abellevoyagetours/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Jeb J/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Jamison Nash/$/$/Springhill Suites Marriott Colorado Springs South,0.53

HighSpeedLowDrag/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Howie K/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Ralph C/$/$/Springhill Suites Marriott Colorado Springs South,0.0

DadDave/$/$/Springhill Suites Marriott Colorado Springs South,0.0

sahshisjj/$/$/Springhill Suites Marriott Colorado Springs South,0.0

Cassia_76/$/$/Springhill Suites Marriott Colorado Springs South,0.0

EMD/$/$/Brightwood Inn Country Inn,0.1

Becca/$/$/Brightwood Inn Country Inn,0.1

Roydon/$/$/Brightwood Inn Country Inn,0.1

dpelliott98/$/$/Motel 6 Fort Bragg,0.0

Andrew8125/$/$/Motel 6 Fort Bragg,0.0

7yvonne7/$/$/Motel 6 Fort Bragg,0.0

funplace/$/$/Motel 6 Fort Bragg,0.0

homeawayfromhome1234/$/$/Motel 6 Fort Bragg,0.0

x_mp_femme/$/$/Motel 6 Fort Bragg,0.0

KarenEurope2012/$/$/Motel 6 Fort Bragg,0.0

OceanLover68/$/$/Motel 6 Fort Bragg,0.0

jtlc243/$/$/Motel 6 Fort Bragg,0.0

Dwarfman00008/$/$/Motel 6 Fort Bragg,0.0

OctoberLove/$/$/Motel 6 Fort Bragg,0.0

SkipB955/$/$/Motel 6 Fort Bragg,0.0

Reddsiren/$/$/Motel 6 Fort Bragg,0.15

jhwjr49/$/$/Motel 6 Fort Bragg,0.0

denniskeith/$/$/Motel 6 Fort Bragg,0.0

h0ckeygirl36/$/$/Motel 6 Fort Bragg,0.25

Stein I/$/$/Motel 6 Fort Bragg,0.0

Mary Jo Y/$/$/Motel 6 Fort Bragg,0.0

Sabrina J/$/$/Super 8 Columbia East,0.13

Chris8134/$/$/Super 8 Columbia East,0.0

HonestObservation/$/$/Super 8 Columbia East,0.0

Jim F/$/$/Super 8 Columbia East,0.0

robertlR8902IN/$/$/Super 8 Columbia East,0.0

alzennie/$/$/Super 8 Columbia East,0.0

Rick G/$/$/Super 8 Columbia East,0.0

Sports_Mom2000/$/$/Super 8 Columbia East,0.0

Sherry D/$/$/Super 8 Columbia East,0.0

Fred K/$/$/Super 8 Columbia East,0.0

Sharon M/$/$/Super 8 Columbia East,0.0

